1,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-25-25090,20251121-47-47095,Erin Mills,470,475,5,5,47
C2,20251121-47-47095,20251121-12-12241,Dundas/Hwy 407,503,522,5,19,33
C3,20251121-30-30130,20251121-GT-3860,Kitchener GO,446,458,10,12,69
C4,20251121-GT-3860,20251121-LW-1711,UN,557,587,10,30,54
C5,20251121-LW-1711,20251121-12-12313,Burlington,658,718,5,60,39
C6,20251121-17-17180,20251121-LW-1961,Aldershot,588,690,10,102,19
C7,20251121-17-17180,20251121-41-41290,McMaster University,603,617,5,14,44
C8,20251121-41-41290,20251121-12-12311,Dundas/Hwy 407,637,643,5,6,29
C9,20251121-17-17230,20251121-LW-1016,Aldershot,645,666,10,21,43
C10,20251121-LW-1016,20251121-12-12361,Burlington,673,718,5,45,33
C11,20251121-25-25532,20251121-56-56470,Square One,1045,1050,5,5,40
C12,20251121-56-56470,20251121-LW-1879,Oakville,1095,1103,5,8,35
C13,20251121-LW-1879,20251121-12-12691,Burlington,1022,1143,5,121,29
C14,20251121-17-17650,20251121-LW-1629,Aldershot,1175,1196,10,21,42
C15,20251121-LW-1629,20251121-12-12781,Confederation,1224,1273,5,49,29
C16,20251121-25-25652,20251121-41-41641,Square One,1175,1190,5,15,31
C17,20251121-41-41641,20251121-12-12781,Dundas/Hwy 407,1226,1244,5,18,29
C18,20251121-30-30070,20251121-47-47103,Bramalea GO Bus Terminal,461,467,5,6,72
C19,20251121-25-25090,20251121-47-47095,Erin Mills Transitway Station,470,475,5,5,54
C20,20251121-40-40060,20251121-66-66101,Hwy 407,425,430,5,5,28
C21,20251121-66-66101,20251121-68-68101,Green Lane E. @Yonge St,478,520,5,42,28
C22,20251121-40-40120,20251121-41-41151,Hwy 407,500,510,5,10,21
C23,20251121-41-41151,20251121-GT-3210,Bramalea,527,536,5,9,21
C24,20251121-GT-3210,20251121-BR-6911,UN,575,594,10,19,21
C25,20251121-40-40181,20251121-56-56201,Square One,525,532,5,7,23
C26,20251121-56-56201,20251121-GT-3960,Bramalea,552,560,5,8,23
C27,20251121-GT-3960,20251121-BR-6911,UN,587,594,5,7,23
C28,20251121-40-40160,20251121-29-29240,Renforth Transitway Station,507,527,5,20,22
C29,20251121-29-29240,20251121-MI-2726,Kipling,540,552,10,12,22
C30,20251121-MI-2726,20251121-BR-6911,UN,573,594,10,21,22
C31,20251121-94-94670,20251121-21-21700,Square One,1220,1234,5,14,19
C32,20251121-21-21700,20251121-BR-6935,UN,1280,1321,10,41,19
C33,20251121-MI-2720,20251121-ST-7410,UN,528,540,10,12,139
C34,20251121-27-27190,20251121-30-30130,Mississauga Rd. @ Royal Bank,474,502,5,28,33
C35,20251121-30-30130,20251121-56-56201,HWY 407,546,577,5,31,27
C36,20251121-MI-2722,20251121-48-48260,Meadowvale Go,493,506,5,13,45
C37,20251121-48-48260,20251121-56-56201,HWY 407,565,577,5,12,37
C38,20251121-21-21294,20251121-61-61341,Union Station,695,705,5,10,42
C39,20251121-61-61341,20251121-56-56331,yonge St. @ Garden Ave,744,766,5,22,29
C40,20251121-MI-2710,20251121-21-21111,Cooksville Go,421,432,10,11,44
C41,20251121-21-21111,20251121-56-56123,Square One,447,460,5,13,31
C42,20251121-22-22220,20251121-40-40180,Trafalgar Rd. @ HWy.407 Park & ride,506,510,4,4,27
C43,20251121-40-40180,20251121-56-56111,yonge st @ garden Ave,577,588,5,11,22
C44,20251121-GT-3806,20251121-LE-9006,UN,425,432,5,7,241
C45,20251121-GT-3806,20251121-56-56073,Bramalea,388,415,5,27,43
C46,20251121-33-33202,20251121-92-92271,York Mills,565,595,5,30,22
C47,20251121-33-33202,20251121-48-48260,Hurontario St. @ Hwy. 407 Park & Ride,513,529,5,16,97
C48,20251121-48-48260,20251121-41-41202,Bramalea,543,570,5,27,26
C49,20251121-41-41202,20251121-LE-9112,Pickering Go,655,663,5,8,21
C50,20251121-33-33240,20251121-94-94251,Yorkdale,605,615,5,10,18
C51,20251121-94-94251,20251121-LE-9312,Pickering Go,670,693,10,23,6
C52,20251121-56-56061,20251121-66-66760,Hwy407,420,430,5,10,21
C53,20251121-66-66760,20251121-68-68101,Green Lane E. @ Yonge St,478,520,5,42,15
C54,20251121-56-56221,20251121-LW-1704,Oakville,515,541,10,26,44
C55,20251121-LW-1704,20251121-BR-6327,UN,585,594,5,9,41
C56,20251121-41-41190,20251121-GT-3960,Bramalea,553,560,5,7,60
C57,20251121-GT-3960,20251121-BR-6911,UN,587,594,5,7,55
C58,20251121-56-56391,20251121-66-66140,Hwy407,1037,1055,5,18,35
C59,20251121-66-66140,20251121-BR-6314,East Gwillimburg Go,1125,1140,10,15,17
C60,20251121-56-56665,20251121-66-66138,Hwy407,1165,1175,5,10,26
C61,20251121-66-66138,20251121-68-68713,Green Lane E. @ Yonge St.,1218,1228,5,10,11
C62,20251121-25-25662,20251121-21-21700,Square One,1170,1177,5,7,71
C63,20251121-21-21700,20251121-BR-6325,UN,1225,1254,10,29,32
C64,20251121-BR-6325,20251121-68-68761,Aurora,1304,1317,5,13,26
C65,20251121-30-30070,20251121-GT-3958,Kitchener Go,387,428,10,41,80
C66,20251121-GT-3958,20251121-ST-7410,UN,527,540,10,13,66
C67,20251121-30-30070,20251121-54-54241,Hwy 407,484,550,5,66,31
C68,20251121-25-25090,20251121-56-56171,Erin Mills,470,489,5,19,37
C69,20251121-56-56171,20251121-ST-7410,Unionville,572,580,5,8,20
C70,20251121-25-25090,20251121-41-41152,Square One,485,493,5,8,77
C71,20251121-41-41152,20251121-54-54241,Hwy 407,533,550,5,17,40
C72,20251121-17-17120,20251121-GT-3960,Guelph Central,461,507,10,46,29
C73,20251121-GT-3960,20251121-ST-7412,UN,587,600,10,13,21
C74,20251121-30-30190,20251121-56-56201,Bramalea,573,584,5,11,73
C75,20251121-56-56201,20251121-ST-7410,Unionville,632,640,5,8,44
C76,20251121-67-67170,20251121-96-96191,Yonge St.@ Florence Ave,445,490,5,45,6
C77,20251121-RH-5006,20251121-LE-9006,UN,480,489,5,9,10
C78,20251121-RH-5323,20251121-41-41050,Richmond Hill Centre,434,455,5,21,5
C79,20251121-41-41050,20251121-96-96191,Scarborough Centre,493,510,5,17,3
C80,20251121-RH-5243,20251121-56-56123,Richmond Hill Centre,464,472,5,8,6
C81,20251121-61-61280,20251121-56-56201,Yonge St.@Garden Ave,582,588,5,6,5
C82,20251121-67-67481,20251121-65-65620,Wellington St. E. @ Hwy. 404 Park & Ride Bus,970,1005,5,35,8
C83,20251121-65-65620,20251121-LE-9011,UN,1070,1100,10,30,4
C84,20251121-37-37200,20251121-GT-3205,Brampton Innovation,447,462,10,15,23
C85,20251121-GT-3205,20251121-57-56123,Bramalea,470,480,5,10,12
C86,20251121-37-37210,20251121-33-33160,Main St. N. @ Vodden St. W.,437,442,5,5,23
C87,20251121-33-33160,20251121-27-27190,Yorkdale Bus Terminal,510,520,5,10,17
C88,20251121-27-27190,20251121-96-96241,Yonge St. @ Florence Ave,529,550,5,21,11
C89,20251121-37-37220,20251121-GT-3205,Brampton Innovation,507,522,10,15,34
C90,20251121-GT-3205,20251121-41-41178,Bramalea,530,538,5,8,27
C91,20251121-41-41178,20251121-96-96281,Scarborough Centre,603,635,5,32,12
C92,20251121-37-37740,20251121-33-33742,Main St. N. @ Vodden St. W,1167,1199,5,32,12
C93,20251121-33-33742,20251121-94-94751,Yorkdale Bus Terminal,1250,1260,5,10,11
C94,20251121-94-94751,20251121-LE-9208,Pickering,1310,1323,10,13,6
C95,20251121-56-56053,20251121-GT-3806,Bramalea,382,388,5,6,81
C96,20251121-GT-3806,20251121-LE-9006,UN,425,432,5,7,77
C97,20251121-29-29130,20251121-MI-2710,Kipling,420,432,10,12,41
C98,20251121-MI-2710,20251121-LE-9206,UN,453,459,5,6,29
C99,20251121-41-41062,20251121-LE-9211,Pickering,525,537,10,12,33
C100,20251121-21-21111,20251121-MI-2718,Erindale,457,475,10,18,57
C101,20251121-MI-2718,20251121-LE-9208,UN,513,519,5,6,51
C102,20251121-56-56050,20251121-LW-1710,Oakville,515,541,10,26,66
C103,20251121-LW-1710,20251121-LE-9310,UN,585,590,5,5,60
C104,20251121-21-21240,20251121-LE-9312,UN,620,650,10,30,71
C105,20251121-17-17120,20251121-LW-1858,Aldershot,523,546,10,23,20
C106,20251121-LW-1858,20251121-BR-6313,UN,615,654,10,39,16
C107,20251121-17-17120,20251121-GT-3860,Guelph,461,477,10,16,27
C108,20251121-GT-3860,20251121-BR-6911,UN,557,594,10,37,23
C109,20251121-30-30130,20251121-GT-3960,Kitchener,446,488,10,42,36
C110,20251121-GT-3960,20251121-BR-6311,UN,587,714,10,127,33
C111,20251121-25-25210,20251121-41-41242,Square One,610,615,5,5,24
C112,20251121-41-41242,20251121-GT-3514,Bramalea,632,660,10,28,22
C113,20251121-GT-3514,20251121-BR-6315,UN,695,714,10,19,18
C114,20251121-25-25260,20251121-41-41290,Erin Mills,655,660,5,5,28
C115,20251121-41-41290,20251121-GT-3516,Bramalea,693,720,10,27,25
C116,20251121-GT-3516,20251121-BR-6317,UN,755,774,10,19,20